R606697,R853780
R171459,R862954
R381736,R963383
R287724,R455591
R797379,R124050
R421434,R152681
R454825,R973926
R884353,R309815
R336953,R305173
R662401,R694993
R873260,R219725
R831780,R641347
R934833,R635585
R233761,R506787
R264683,R813157
R243175,R341609
R569185,R283295
R789722,R168539
R590685,R518184
R926423,R705298
R471455,R350942
R313507,R872700
R351180,R627056
R344123,R774981
R641302,R329904
R467749,R555138
R100185,R127149
R137879,R475144
R504519,R334835
R643805,R953172
R303721,R657702
R186885,R611497
R689498,R239564
R305339,R647960
R744652,R563112
R260964,R169671
R211781,R134235
R151420,R243666
R561899,R740502
R715293,R706973
R577075,R485745
R762905,R694229
R741522,R791580
R307711,R380495
R148705,R112877
R718419,R204546
R444607,R342079
R733569,R512601
R806018,R252119
R584793,R362962
R833739,R280195
R251157,R312654
R529873,R355253
R149021,R960488
R229488,R755726
R818943,R384479
R551118,R858073
R291467,R124185
R212407,R577615
R630486,R475073
R502431,R157650
R365624,R915652
R807358,R120809
R662246,R571046
R228210,R369835
R396269,R546515
R630156,R563036
R584579,R979009
R537003,R543743
R732211,R486177
R613404,R956963
R696374,R541368
R232691,R200478
R702547,R480512
R539538,R168482
R112945,R179651
R564354,R894179
R376776,R427067
R753319,R998396
R659291,R164125
R502483,R838033
R645295,R616010
R568194,R898412
R983992,R664844
R755370,R762474
R389717,R536213
R859821,R878685
R642860,R127700
R198020,R226303
R736006,R595181
R928991,R846481
R410689,R234220
R373293,R835530
R923862,R635514
R655747,R821039
R851890,R193627
R787251,R845263
R699443,R377682
R551891,R483686
R924980,R119447
R477972,R447280
R121139,R573050
R811896,R746179
R328381,R475449
R428914,R546666
R659990,R510548
R988496,R799498
R579215,R364255
R427455,R169738
R958856,R963065
R250811,R825521
R853301,R971311
R581964,R614790
R602755,R909367
R331218,R702868
R249054,R365995
R725345,R309091
R631715,R282639
R338860,R673232
R357134,R912180
R525750,R327720
R499852,R634365
R777755,R832143
R141023,R667008
R902044,R408872
R904572,R762242
R600457,R528144
R334119,R569613
R167597,R645998
R774620,R658812
R494923,R576388
R499027,R814292
R114331,R848978
R457398,R638705
R857332,R898531
R937887,R812206
R240513,R497279
R887236,R513001
R126364,R764455
R615237,R563170
R633544,R702556
R115963,R406462
R287829,R394215
R504307,R735729
R331402,R679055
R586111,R818769
R196447,R420399
R126419,R661472
R121101,R924559
R398738,R959524
R604194,R152741
R174642,R588311
R457737,R965788
R258508,R617536
R252338,R225779
R226152,R654430
R387035,R995172
R308763,R403671
R950773,R245029
R955460,R570738
R819588,R926855
R861027,R770215
R397926,R778555
R694508,R515500
R763967,R185540
R322490,R374674
R382479,R904968
R967454,R899307
R154216,R135137
R897940,R946600
R140230,R913009
R164254,R374642
R766419,R452472
R462225,R206404
R967324,R185235
R138019,R585349
R102999,R532437
R106919,R839842
R988945,R708650
R836520,R664877
R413496,R504779
R648550,R181004
R711093,R175791
R337743,R504648
R673417,R722000
R607310,R447006
R491461,R807579
R828141,R357726
R858362,R587175
R852290,R632663
R869067,R871749
R753339,R354364
R690255,R711895
R191652,R371622
R321138,R391348
R813358,R157716
R256717,R960663
R320004,R759458
R444872,R131238
R617661,R314866
R456746,R799939
R352235,R483289
R320245,R317892
R517245,R321821
R504775,R744789
R454104,R117808
R423494,R670250
R569400,R620316
R950629,R103135
R172233,R852542
R408887,R512178
R642458,R788915
R299431,R141797
R925664,R478531
R534548,R593119
R575349,R843299
R752111,R326332
R381988,R463275
R229557,R966691
R852030,R273613
R613439,R678890
R569399,R401057
R874781,R252503
R440820,R706493
R529320,R113054
R934725,R709135
R317796,R168942
R564173,R528452
R689040,R428114
R606757,R812201
R594407,R384830
R785468,R560053
R900932,R593790
R838773,R658947
R629880,R365939
R962137,R247068
R277579,R287943
R827320,R466225
R756485,R585642
R749829,R143000
R136438,R345208
R283343,R184778
R486870,R868314
R778170,R697224
R509444,R896894
R453236,R285174
R530371,R514231
R104378,R739585
R904966,R724842
R837806,R919461
R642954,R475587
R958610,R562104
R651396,R600477
R858042,R396611
R653325,R912388
R412499,R242660
R785107,R435747
R508245,R198978
R847658,R141230
R273038,R355330
R315006,R343780
R519315,R847502
R304954,R240171
R744074,R524879
R932717,R819041
R369383,R544977
R583179,R951652
R889998,R881630
R552449,R328961
R868273,R688776
R833888,R561249
R118790,R831305
R800998,R379495
R586028,R777198
R201312,R418145
R273062,R793825
R663828,R933128
R382703,R665395
R556589,R334657
R988842,R282712
R711343,R215523
R553461,R621749
R662032,R542540
R516506,R316729
R887762,R112583
R374522,R191780
R109950,R393299
R760272,R684325
R726931,R633647
R399988,R845007
R312532,R620073
R664825,R585677
R272661,R173397
R571690,R521611
R553850,R655947
R866401,R365315
R960210,R218969
R792736,R863841
R717793,R306756
R444870,R396385
R996094,R392563
R786195,R151729
R842823,R927770
R110902,R537837
R414732,R810839
R818329,R150757
R671138,R212480
R916668,R529994
R538648,R211723
R262410,R721683
R971513,R423762
R350638,R149850
R578114,R615308
R241045,R855180
R200064,R484092
R436918,R709917
R649115,R692093
R577774,R511721
R235207,R829952
R908663,R897862
R134302,R391347
R370899,R439787
R864585,R121302
R749345,R656776
R858004,R999448
R672079,R507435
R707826,R432278
R484266,R129188
R770182,R885037
R779622,R131993
R575276,R892695
R936402,R571746
R678284,R425285
R564672,R635910
R784989,R469745
R777514,R226726
R786847,R337625
R743167,R630808
R317863,R831184
R532372,R228517
R994295,R492409
R837562,R625267
R551219,R770987
R687827,R765086
R638130,R720045
R827857,R152345
R525543,R723809
R649800,R458199
R454501,R662722
R569093,R899675
R271076,R237912
R861457,R895606
R695706,R521821
R149097,R872354
R897063,R953308
R201654,R644923
R837216,R399274
R718965,R819533
R965961,R408702
R991968,R995173
R563931,R311588
R690056,R888638
R875682,R239810
R294860,R472906
R436743,R288785
R755960,R261774
R897888,R940654
R428437,R335513
R122796,R763407
R704431,R722650
R432812,R569575
R253070,R931329
R915720,R657483
R289491,R746577
R330408,R400298
R225819,R806695
R541289,R959389
R139395,R663019
R279572,R289850
R312940,R118524
R630544,R982826
R758408,R127628
R612819,R377318
R155010,R537628
R886540,R447041
R802170,R200913
R470872,R126131
R367050,R355822
R217696,R605023
R384898,R690824
R173840,R430950
R996012,R469523
R874379,R740450
R501230,R498252
R778712,R664148
R877224,R959010
R311747,R942408
R558429,R421488
R626856,R913412
R750482,R213249
R450383,R331817
R332274,R113422
R181513,R628287
R412282,R350688
R986274,R147823
R313199,R447923
R884067,R484805
R609505,R354178
R509942,R205949
R336369,R500129
R243128,R463949
R439544,R149804
R205976,R759502
R468534,R137023
R658585,R649624
R735956,R238411
R936801,R338203
R688909,R608518
R283997,R884388
R558796,R850073
R355816,R619754
R589221,R982014
R931287,R495501
R264871,R749821
R496916,R201307
R972302,R973480
R352378,R942116
R754052,R241752
R498839,R366882
R217460,R444807
R370973,R709945
R206161,R936966
R563707,R906694
R622966,R579547
R833566,R808881
R498270,R580601
R745247,R600667
R759223,R814566
R290391,R240752
R785020,R320421
R293615,R200658
R950485,R511156
R474247,R883638
R594804,R872599
R151734,R186115
R781896,R184495
R579782,R524753
R753598,R129526
R798515,R774578
R872658,R933126
R555769,R355868
R689707,R100224
R262935,R475364
R255754,R685559
R883111,R347437
R353078,R797135
R161115,R509439
R296555,R509842
R976375,R310605
R926254,R480367
R207584,R929781
R163901,R383157
R678082,R632670
R454914,R954251
R790613,R798031
R980599,R367659
R610634,R527437
R453205,R320776
R395456,R475636
R175360,R672058
R317063,R391785
R519419,R555795
R754668,R410226
R937151,R279137
R799147,R449773
R819494,R538329
R375993,R592586
R828928,R914605
R933514,R719734
R865301,R845902
R794004,R481111
R971621,R871885
R116423,R671420
R515556,R959319
R810786,R854376
R886408,R742355
R977978,R754790
R401354,R303898
R140083,R226068
R926359,R142647
R976292,R751527
R299396,R581040
R398697,R860562
R827941,R384625
R532639,R595099
R456701,R165351
R341257,R508751
R999181,R127958
R233723,R485212
R237218,R267635
R437624,R596371
R319008,R864793
R682913,R848816
R926799,R985193
R286641,R706494
R993011,R923848
R484175,R197900
R440036,R849083
R520684,R114024
R393629,R849051
R853889,R379893
R309950,R299495
R510241,R822193
R764466,R506916
R130763,R750253
R796002,R422495
R250495,R562377
R285438,R695724
R403422,R712439
R313154,R865258
R494100,R638650
R818444,R700166
R463760,R823815
R160812,R717384
R960841,R349946
R856805,R619355
R985014,R165874
R149589,R294384
R406557,R183964
R627235,R809386
R658785,R606193
R467688,R400061
R450961,R991856
R729158,R363330
R971085,R291519
R112788,R800224
R444313,R785977
R962141,R909659
R888997,R181254
R774018,R414189
R170320,R554029
R160259,R549625
R851711,R592415
R442066,R403501
R541148,R160692
R918992,R128928
R170597,R117871
R788540,R928700
R816740,R573925
R170603,R665332
R948085,R503647
R879976,R642825
R705652,R327142
R975287,R232240
R422155,R368684
R899824,R883969
R369881,R431801
R862084,R149843
R837734,R870213
R764114,R869180
R300592,R551653
R132761,R339242
R201344,R654956
R893384,R105657
R922190,R977020
R286533,R209426
R995890,R841961
R737878,R401931
R440328,R888663
R575606,R101294
R575215,R883231
R481365,R848511
R611544,R926986
R177541,R567545
R842541,R628389
R195071,R317090
R688214,R203619
R213346,R895642
R840755,R402717
R919603,R473362
R429422,R216059
R488416,R409714
R947407,R434492
R965286,R510858
R674928,R636846
R845432,R691959
R520230,R114297
R686347,R729858
R241832,R564012
R385992,R621124
R903045,R730916
R474207,R984070
R408753,R879617
R523796,R831995
R179868,R476191
R697245,R855633
R154382,R532870
R868072,R697638
R282523,R126080
R813530,R825730
R645842,R269298
R278173,R778421
R515800,R388211
R734233,R576777
R176474,R342136
R777897,R607435
R291204,R821732
R642071,R994122
R582761,R879709
R316450,R343016
R205251,R528260
R829737,R331673
R449138,R990052
R900346,R207587
R704313,R368390
R396921,R169889
R215556,R997367
R524941,R902771
R248931,R385301
R261713,R398655
R639922,R211875
R409787,R496670
R853587,R625879
R326976,R149446
R755048,R800373
R488002,R615399
R252059,R585742
R731967,R780800
R816496,R420352
R133773,R743918
R761601,R728706
R937163,R346894
R800605,R582233
R176021,R298774
R446790,R948691
R877366,R664706
R673539,R723659
R514426,R380521
R157782,R788642
R115809,R912880
R616047,R363093
R407830,R603822
R455135,R376772
R862540,R470825
R530022,R729784
R583008,R525292
R919289,R435183
R870714,R982358
R632937,R391779
R515696,R915676
R994601,R440398
R725936,R561113
R534331,R133879
R631425,R658074
R110792,R420600
R147489,R200697
R588898,R557477
R908384,R595877
R511511,R990493
R535535,R259205
R155285,R770776
R237705,R281009
R921064,R430595
R689494,R738236
R474091,R442615
R356957,R551244
R548798,R269823
R912211,R864919
R622356,R136266
R757329,R969941
R444237,R269391
R676958,R675986
R428768,R230693
R705392,R725063
R422550,R310545
R498728,R653839
R338058,R223413
R903567,R112619
R475060,R245533
R885887,R135567
R276253,R920200
R356708,R268659
R765309,R949704
R510373,R263080
R927050,R300861
R817781,R235362
R397961,R808976
R215040,R774491
R711563,R698896
R428683,R416161
R130625,R771091
R681557,R670828
R163120,R750376
R835253,R268827
R825831,R687432
R652001,R162206
R838956,R738599
R253760,R136085
R713350,R370959
R513736,R991630
R753354,R673048
R735691,R531420
R933364,R720964
R957903,R229783
R466214,R372808
R969837,R428756
R838882,R505413
R337142,R838991
R527237,R148861
R203594,R494995
R128997,R584220
R637678,R945228
R289324,R962293
R935658,R160168
R524016,R519174
R157820,R422250
R293607,R979853
R395014,R494680
R740469,R578266
R435301,R119729
R914173,R943548
R267646,R602060
R348216,R878344
R676178,R709500
R554170,R562456
R466678,R195014
R414432,R470894
R787048,R187520
R509008,R282466
R663256,R946427
R240103,R121609
R690725,R733711
R647619,R821092
R206808,R621673
R763938,R883408
R542388,R988675
R459214,R601792
R893790,R705326
R980181,R605427
R986403,R427044
R795623,R792690
R481800,R687420
R912436,R248082
R445678,R443451
R875373,R880285
R494027,R756129
R536237,R406946
R591017,R497573
R450951,R876663
R298212,R438635
R674709,R583374
R587853,R921539
R939165,R717402
R967152,R896598
R920947,R983842
R332334,R811827
R530799,R637876
R954865,R443958
R497051,R174254
R418656,R794569
R498387,R465750
R642305,R148421
R897495,R543866
R402869,R228316
R674901,R401904
R689422,R446076
R227312,R568292
R143647,R561883
R212444,R828097
R133192,R106552
R928596,R727551
R420909,R552124
R733742,R542259
R226836,R218749
R611105,R219706
R838587,R547959
R581639,R801231
R418439,R299901
R173476,R841790
R170880,R725732
R778258,R792715
R119707,R228269
R502351,R149114
R963165,R475486
R965561,R945372
R460242,R332653
R151167,R223629
R544947,R471960
R898441,R675181
R960110,R548624
R133050,R618756
R764926,R887605
R184523,R540927
R165559,R544929
R253015,R278606
R441131,R617096
R599143,R563518
R974929,R563485
R288610,R572788
R376123,R466751
R756204,R604425
R121918,R365586
R975266,R263878
R631820,R697581
R911496,R814109
R481913,R740514
R375237,R723942
R416803,R103474
R465624,R208843
R635948,R305144
R488601,R296732
R987873,R726172
R385631,R818082
R635116,R171887
R186294,R234820
R929974,R582860
R916702,R703027
R456570,R730623
R605892,R356287
R237046,R270343
R330165,R659059
R730573,R619674
R635966,R410565
R364456,R654320
R676912,R510951
R318137,R579481
R603047,R543234
R867165,R934506
R351190,R101078
R309507,R577295
R282920,R628369
R266544,R143509
R457174,R609545
R879236,R812693
R508950,R719065
R242821,R601448
R464716,R429615
R818043,R375146
R470471,R766045
R775722,R903889
R261479,R250060
R117215,R989741
R825072,R205896
R915116,R605139
R681909,R277601
R591722,R988941
R996296,R202614
R605140,R445301
R464377,R166709
R695550,R775704
R802773,R834534
R876923,R956197
R113081,R804032
R702299,R586974
R590305,R972902
R514956,R174947
R905257,R272048
R771155,R445567
R733143,R110823
R922594,R240254
R809394,R840808
R985913,R999828
R982841,R716986
R436394,R871325
R569771,R907876
R138585,R811309
R875955,R857747
R414510,R339326
R451809,R505730
R727045,R329550
R557072,R459065
R717559,R906979
R629128,R317123
R110120,R527562
R979333,R160095
R871030,R474147
R565883,R239759
R744272,R724878
R770286,R486897
R845406,R942132
R205373,R674847
R997660,R853305
R323847,R693666
R624852,R779773
R602517,R161280
R926868,R287913
R570885,R451988
R148352,R621172
R673092,R722974
R959467,R358800
R940049,R572437
R823708,R409182
R373763,R273760
R943149,R811153
R284537,R694678
R269357,R272325
R155661,R525518
R429200,R660859
R193180,R385063
R591986,R767381
R987040,R633190
R690897,R622222
R873205,R196815
R628556,R510372
R108448,R334226
R813717,R264623
R117663,R494949
R947295,R811512
R144884,R473490
R148238,R155817
R258910,R856719
R814825,R880180
R609573,R548542
R707432,R663986
R469068,R678641
R618242,R536746
R685413,R718621
R409734,R406309
R785110,R202710
R778754,R260896
R180569,R118703
R886078,R144272
R261126,R746013
R190420,R920481
R707027,R899691
R350483,R755237
R367617,R411933
R590834,R723306
R981486,R772103
R342949,R465589
R827519,R162361
R505214,R923413
R926044,R228005
R512036,R621471
R943103,R957011
R171000,R822940
R510692,R255612
R654031,R909345
R801500,R705664
R914751,R274553
R504525,R124472
R550691,R462593
R421256,R778887
R440065,R839770
R681030,R131100
R953328,R510757
R911807,R616710
R824817,R771905
R154624,R457981
R818352,R856281
R927374,R712312
R339893,R450140
R395613,R586553
R141617,R342099
R710819,R392409
R927351,R360739
R415702,R831475
R380925,R950961
R930681,R211964
R665090,R454534
R497998,R110278
R695383,R848262
R811722,R609426
R943755,R649834
R225192,R816947
R104809,R221510
R695726,R540000
R636433,R157291
R214789,R499168
R928852,R319990
R174380,R615603
R642868,R941184
R657542,R721116
R442007,R360169
R475197,R599343
R393349,R916236
R243774,R471115
R291457,R108705
R155368,R720930
R935689,R677413
R827215,R413321
R258254,R693832
R130938,R582659
R558166,R556617
R500639,R288526
R865140,R956437
R288524,R295205
R504350,R286812
R750072,R200173
R720460,R361791
R826247,R708989
R893872,R264762
R250149,R289808
R589340,R550836
R144336,R687430
R971671,R710343
R207786,R550680
R472406,R195472
R738081,R910987
R966257,R795182
R949462,R659638
R757576,R838232
R534781,R501236
R145190,R138683
R206652,R428504
R282520,R473630
R428495,R534956
R178048,R952510
R431760,R973639
R113040,R679171
R688422,R958832
R934753,R623885
R140379,R334710
R174586,R636752
R489366,R989529
R372927,R411915
R930097,R367303
R589680,R904843
R842524,R202938
R120097,R625739
R483367,R634212
R964100,R905417
R570640,R467791
R126923,R590523
R609092,R440351
R474178,R320652
R372473,R993668
R498663,R990311
R234606,R189388
R807467,R502015
R292978,R670411
R256558,R407004
R192809,R255936
R319881,R344872
R446715,R225082
R139235,R857357
R909244,R596326
R324385,R967994
R311886,R487137
R285672,R285594
R584602,R942981
R157104,R817566
R268247,R304452
R483341,R636147
R881544,R500150
R475762,R138215
R937877,R816214
R304987,R132519
R180399,R868813
R452574,R551620
R257446,R450345
R587967,R129828
R671594,R574789
R665818,R797369
R815429,R203550
R106206,R485512
R424205,R600420
R660113,R895651
R194579,R646928
R587965,R392362
R367607,R727947
R699931,R671949
R958998,R876769
R456390,R881080
R737743,R372695
R738563,R769529
R883752,R866665
R585043,R844361
R304846,R640240
R478517,R728460
R285475,R403136
R222980,R813431
R838161,R352871
R903318,R679712
R599442,R541599
R481265,R317721
R611053,R767743
R118723,R693766
R582543,R298903
R928952,R678714
R878084,R713525
R706318,R557582
R285510,R755083
R541170,R323756
R405759,R946847
R231465,R849920
R793470,R457229
R393024,R848855
R132534,R545473
R178990,R560724
R805742,R876070
R628228,R775306
R997654,R948351
R726611,R150617
R542916,R675236
R755608,R987566
R386538,R650332
R975057,R292241
R780425,R644297
R239802,R116759
R653591,R464917
R103941,R600716
R493137,R649867
R243637,R938977
R435686,R931531
R923746,R238453
R702032,R974256
R822694,R394415
R366543,R497674
R852774,R364759
R373082,R906751
R757560,R308380
R859689,R985148
R553200,R109700
R174303,R153816
R183330,R604681
R269325,R740735
R793382,R568741
R593423,R699903
R676483,R668869
R390051,R360575
R313945,R426318
R762085,R305293
R341278,R717061
R421026,R919319
R324340,R192287
R341836,R900604
R982154,R453121
R794654,R718147
R838999,R107091
R677142,R310946
R833038,R556368
R950712,R697263
R357401,R399571
R802283,R523209
R553205,R990727
R490662,R972969
R561757,R825803
R877115,R264738
R757367,R864716
R948834,R969560
R858498,R202267
R996153,R497854
R428364,R525666
R317490,R831513
R981530,R575962
R586164,R554587
R212839,R313086
R280500,R180343
R661581,R934434
R405192,R209570
R283011,R172225
R335815,R793714
R699817,R692678
R984762,R176171
R465491,R109356
R844957,R225009
R484834,R706983
R809656,R708256
R608408,R956621
R576134,R358148
R252047,R165854
R427110,R522827
R562639,R532786
R241573,R375371
R382740,R416224
R560445,R761796
R417410,R266687
R660008,R504704
R248856,R274138
R432950,R496542
R488868,R501673
R747293,R269016
R534656,R536898
R134635,R437363
R531600,R656087
R545248,R489417
R691213,R886790
R547999,R819190
R903397,R279488
R687637,R551153
R487689,R339114
R690640,R239316
R602239,R846982
R103053,R922724
R388597,R776185
R586091,R185608
R549303,R743941
R112070,R652015
R705779,R297500
R296607,R155656
R252376,R832681
R374791,R946518
R353368,R563065
R433235,R645743
R918882,R882037
R119205,R580768
R474190,R558250
R552202,R144233
R100965,R869188
R817622,R978454
R779440,R304123
R316867,R419159
R889903,R546699
R685825,R646872
R584751,R740571
R494678,R715510
R407235,R509168
R816764,R743368
R391299,R615108
R637266,R464357
R584873,R564941
R565115,R138120
R681441,R457128
R454098,R336366
R296713,R521183
R839567,R264187
R322722,R568518
R736740,R377257
R971850,R331257
R413134,R267139
R359136,R760245
R461595,R910054
R943719,R582216
R890835,R123953
R646594,R138036
R571118,R213749
R657109,R144519
R596505,R534978
R558280,R920114
R661244,R968118
R575821,R440642
R718758,R428529
R597634,R136255
R265464,R946719
R323251,R944508
R777308,R800266
R761544,R806257
R746043,R263502
R374946,R846580
R527554,R278121
R678218,R432257
R780815,R646635
R935804,R759903
R259427,R643564
R304556,R380822
R376815,R484808
R232219,R977566
R736677,R578483
R341929,R476802
R447212,R797066
R833794,R639480
R189282,R422329
R504142,R700414
R892581,R418745
R495996,R401908
R304691,R545322
R707327,R845920
R812630,R833917
R779363,R928719
R855397,R419793
R702679,R480845
R974972,R323816
R337906,R735708
R671354,R784613
R647603,R879319
R424507,R645904
R539060,R835848
R222579,R483261
R592762,R906441
R760015,R619333
R983825,R837829
R637141,R881564
R340713,R813695
R780583,R966772
R430576,R320846
R873194,R184022
R251108,R938079
R889601,R131317
R101809,R517949
R339971,R590355
R416170,R632460
R512256,R920901
R114524,R114029
R434628,R446284
R562546,R850467
R785712,R792563
R581817,R117721
R695969,R688137
R479679,R177842
R225326,R177645
R268491,R265002
R661424,R114345
R284914,R119073
R428988,R617413
R215173,R917844
R906623,R963497
R292199,R906447
R582719,R447673
R315878,R148747
R231606,R966975
R849985,R778692
R564395,R464384
R618955,R789587
R652247,R512127
R533555,R353665
R906211,R273874
R633023,R854953
R605061,R785185
R966461,R875177
R528767,R168144
R854244,R249121
R939471,R776823
R659393,R797442
R724572,R372753
R410197,R725694
R157717,R917189
R270426,R730073
R608898,R328525
R214691,R664018
R295947,R891793
R253010,R307453
R112670,R740342
R234905,R428755
R127325,R862692
R902790,R684537
R105182,R262017
R922002,R582120
R650992,R247544
R495868,R956414
R792463,R274740
R367291,R447066
R421576,R568811
R380173,R945619
R341580,R525858
R368522,R757097
R267562,R571791
R420101,R100096
R755837,R174441
R811105,R452009
R252068,R772101
R628546,R684935
R310969,R416814
R478951,R928976
R657234,R222245
R864855,R581341
R370926,R947216
R300992,R773741
R262855,R684104
R807335,R650528
R900380,R261251
R624271,R368193
R690445,R858139
R949302,R549762
R312138,R926316
R545611,R379396
R913915,R767677
R456913,R831604
R110230,R617846
R696902,R200026
R518758,R991762
R498390,R100320
R205796,R698583
R231943,R483743
R447405,R609841
R386612,R958482
R421427,R562834
R861326,R794784
R969525,R953173
R125821,R855737
R392043,R371329
R785091,R877497
R627098,R152203
R271957,R921780
R955543,R687742
R234454,R713044
R254660,R916648
R857074,R646423
R466592,R108653
R349709,R985731
R267398,R296707
R410821,R214835
R503035,R158990
R249041,R755520
R255173,R689492
R584312,R159941
R112998,R377393
R971122,R714406
R647506,R790757
R319420,R808822
R440937,R383647
R882761,R487038
R935087,R136996
R243098,R556721
R173244,R846025
R832617,R875216
R448071,R736474
R616694,R465831
R391143,R996946
R433042,R170077
R571924,R281188
R189614,R274483
R246187,R693570
R899469,R331110
R181710,R544619
R920949,R101731
R228563,R762243
R683760,R500653
R305668,R763972
R711548,R290329
R236006,R565821
R900037,R401990
R381917,R107272
R383027,R404349
R799888,R363997
R128920,R828585
R693392,R966357
R324659,R133837
R765661,R400213
R310755,R429780
R108211,R845961
R731515,R613793
R939044,R248404
R703839,R155386
R822409,R617748
R494737,R972467
R997288,R221435
R403315,R404827
R365650,R458768
R491727,R782518
R579040,R127083
R748185,R125633
R353862,R140595
R997358,R823652
R475228,R395559
R674346,R720430
R477538,R817953
R121107,R308992
R811327,R954464
R181866,R209884
R340734,R106372
R400227,R714802
R591379,R949751
R713822,R108493
R670830,R713684
R172794,R851918
R453090,R239854
R398385,R961932
R578518,R742178
R589236,R289946
R524703,R989323
R850643,R361592
R301632,R356633
R248040,R357120
R208977,R904032
R980583,R547607
R664522,R803290
R109982,R847860
R722659,R726272
R743530,R147962
R595858,R593497
R197943,R138920
R889256,R340273
R631136,R528836
R833039,R777603
R286309,R907327
R688701,R307632
R708011,R640710
R304989,R565081
R305338,R542024
R319973,R115599
R590376,R281547
R604709,R871088
R395434,R316865
R556615,R236129
R153349,R916469
R710541,R744309
R801090,R341770
R814714,R568825
R963572,R821109
R852094,R557805
R423138,R630720
R833856,R772296
R491246,R431393
R857917,R863245
R108029,R829760
R924289,R966468
R940525,R531181
R307800,R941583
R100446,R460034
R547481,R730979
R362798,R128177
R260281,R249947
R190723,R555873
R982834,R368850
R695675,R958066
R760237,R929499
R667096,R644695
R718420,R639095
R307666,R351825
R275734,R834400
R849382,R535618
R440506,R906963
R804824,R684032
R682275,R571062
R809930,R138558
R360578,R382599
R753979,R232917
R367292,R526344
R986657,R891637
R874499,R725431
R191875,R797819
R274612,R352237
R929063,R736930
R176233,R553214
R667651,R393639
R358816,R159145
R589623,R221942
R777806,R835184
R617810,R117120
R615558,R453238
R266073,R283187
R481032,R607061
R571412,R183995
R463173,R939130
R323340,R793101
R714808,R891196
R111471,R742071
R971438,R349028
R627111,R855136
R605160,R667827
R250620,R654848
R634243,R401847
R902966,R379023
R406902,R561975
R645532,R755469
R776715,R408697
R372405,R207427
R959469,R299746
R969166,R857401
R680635,R262000
R559067,R716622
R355805,R880711
R109350,R129030
R738866,R547572
R426468,R683146
R300684,R786791
R940731,R563947
